Farmer_id,farmer_consent_form,district,number_of_coffee_farms_owned,farmer_head_of_family,number_of_household_members,farmer_member_coffee_org,name_of_coffee_org,farmer_part_of_carbon_project,carbon_project_name,farmer_has_mobile_money_wallet,land_agri_or_forest,land_documents,land_documents_other,any_land_dispute,any_land_dispute_details,protect_water_sources,protect_water_sources_details,use_organic_waste,use_organic_waste_details,harvest_wood_farm,harvest_wood_farm_regulations,harvest_wood_farm_regulations_details,interact_leaders_farming_activities,interact_leaders_farming_activities_details,workers_treatment,workers_treatment_details,pay_min_wage,pay_min_wage_details,underage_workers,underage_workers_details,workers_follow_schedule,workers_follow_schedule_details,workers_aware_of_rights,workers_aware_of_rights_details,pay_taxes,pay_taxes_details,corruption_practices_observed,corruption_practices_observed_details,gps_center_accuracy,gps_center_altitude,farm_size,coffee_trees_farmers_estimate,number_productive_trees,date_of_planting,percent_Arabica_grown,percent_Robusta_grown,crops_grown,crop_grown_other,irrigation_method,gap,male_workers,female_workers,temp_workers,permanent_workers,local_workers,immigrant_workers,2022_production_FAQ,2023_production_FAQ,2022_production_kiboko,2023_production_kiboko,2022_production_green_cherries,2023_production_green_cherries,sell_coffee_to,primary_buyer,primary_buyer_other
F-304,,Nakaseke,4,No,9.0,Yes,IBERO,No,,Yes,100% Agricultural,Customary,,No,,Yes,,Yes,,No,,,Yes,,Yes,,Yes,,No,No child labor employed,Yes,Irregular schedules due to seasonal work,No,Lack of training on rights,Yes,,No,No corruption observed,,,3.458849,1350.0,349.0,2000-02-02 03:00:00Z,0-25%,75-100%,"Maize, Beans",,Irrigated,"Intercropping, Soil Testing",7.0,1.0,9.0,1.0,7.0,0.0,,1065.0,,359.0,,1162.0,Nakaseke,Local Trader,
F-305,1.0,Luwero,1,yes,9.0,no,,no,,yes,Natural forest,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.802,1078.669,1.502197,1520.0,1470.0,1998-03-19 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Pruning', 'Intercropping', 'Weeding']",3.0,0.0,2.0,1.0,0.0,0.0,1700.0,700.0,1200.0,1200.0,,1700.0,It's picked from your farm,Supplier,
F-306,1.0,Luwero,1,yes,10.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.0,1117.7,0.792348,1350.0,1350.0,2008-07-08 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",2.0,0.0,1.0,4.0,1.0,0.0,500.0,450.0,1000.0,1000.0,,500.0,It's picked from your farm,Supplier,
F-307,1.0,Kayunga,2025-05-10 00:00:00,yes,7.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,3.216,1066.84826660156,0.311104,100.0,80.0,2007-10-10 03:00:00Z,0-25%,75-100%,['Beans'],,Irrigated,['Using Fertilizers'],10.0,5.0,10.0,30.0,3.0,2.0,150.0,100.0,100.0,100.0,,150.0,It's picked from your farm,Supplier,
F-308,1.0,Kayunga,1,yes,6.0,no,,no,,no,Natural forest,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.2,1068.69999999999,0.215811,900.0,800.0,1999-09-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],1.0,1.0,1.0,1.0,0.0,0.0,800.0,400.0,1600.0,1600.0,,800.0,It's picked from your farm,Supplier,
F-309,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.6,1060.5,0.41195,1050.0,1000.0,2000-08-13 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Intercropping', 'Weeding']",5.0,4.0,4.0,5.0,9.0,0.0,1000.0,850.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-310,1.0,Kayunga,1,yes,5.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.4,1077.9,0.298772,750.0,700.0,1990-05-14 03:00:00Z,0-25%,75-100%,"['Bananas', 'Sorghum', 'Beans']",,Rainfed,"['Using Fertilizers', 'Weeding', 'Intercropping']",0.0,3.0,2.0,1.0,0.0,0.0,720.0,700.0,1450.0,1450.0,,720.0,It's picked from your farm,Supplier,
F-311,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.553686,1073.583,1.527921,1700.0,1500.0,2000-05-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",6.0,4.0,4.0,6.0,10.0,0.0,1500.0,1350.0,3000.0,3000.0,,1500.0,It's picked from your farm,Supplier,
F-312,1.0,Luwero,1,yes,7.0,no,,no,,yes,Agricultural Use,Title,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,13.141,1143.766,1.001919,1250.0,1200.0,2007-08-20 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",2.0,2.0,0.0,4.0,0.0,0.0,1500.0,750.0,3000.0,3000.0,,1500.0,At a hulling station,Hulling Station representative,
F-313,,Nakaseke,3,Yes,6.0,No,,No,,No,100% Agricultural,Lease,,No,,Yes,Lack of resources for buffer zones,Yes,,No,,,No,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,No,,Yes,,No,No corruption observed,,,5.893415,1500.0,557.0,2000-10-09 03:00:00Z,0-25%,75-100%,"Matoke, Groundnuts",,Irrigated,"Composting, Pest Management",1.0,0.0,7.0,3.0,7.0,0.0,,1782.0,,1766.0,,236.0,Nakaseke,Local Trader,
F-314,1.0,Luwero,1,yes,10.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.999,1073.047,1.360429,500.0,125.0,2001-05-23 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding']",1.0,1.0,2.0,0.0,0.0,0.0,650.0,250.0,400.0,400.0,,650.0,It's picked from your farm,Supplier,
F-315,,Luwero,3,No,9.0,No,,No,,Yes,100% Agricultural,Deed of Property,,No,,Yes,,Yes,,No,,,No,No interaction with cultural leaders,No,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,Unaware of tax obligations,No,No corruption observed,,,3.821321,2500.0,754.0,1997-04-10 03:00:00Z,0-25%,75-100%,,,Rainfed,"Composting, Pest Management",10.0,1.0,9.0,5.0,9.0,0.0,,1942.0,,4848.0,,1516.0,Luwero,Local Trader,
F-316,1.0,Luwero,4,Yes,5.0,No,,No,,Yes,100% Agricultural,Other,,No,,Yes,,No,,No,,,Yes,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,Lack of training on rights,No,,No,No corruption observed,,,5.21678,2800.0,1045.0,2015-11-05 03:00:00Z,0-25%,75-100%,"Maize, Beans",,Rainfed,"Composting, Pest Management",4.0,1.0,1.0,4.0,3.0,0.0,,1554.0,,924.0,,285.0,Luwero,Local Trader,
F-317,1.0,Kayunga,2,yes,9.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,9.7,1064.9,3.067371,900.0,800.0,2004-08-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding']",3.0,1.0,4.0,0.0,4.0,0.0,800.0,700.0,1600.0,1600.0,,800.0,It's picked from your farm,Supplier,
F-318,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,3.4,1045.3,1.978095,1350.0,1000.0,2018-05-21 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Weeding'],1.0,1.0,0.0,2.0,0.0,0.0,2700.0,2000.0,2400.0,2400.0,,2700.0,It's picked from your farm,Supplier,
F-319,1.0,Luwero,1,yes,2.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.01,0.0,1.044219,1050.0,1000.0,2000-12-30 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],1.0,1.0,0.0,2.0,2.0,0.0,200.0,250.0,250.0,250.0,,200.0,It's picked from your farm,Supplier,
F-320,1.0,Luwero,2,yes,9.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.75,1134.0,1.051988,360.0,100.0,2019-08-14 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding']",1.0,1.0,0.0,2.0,0.0,0.0,900.0,900.0,1800.0,1800.0,,900.0,It's picked from your farm,Supplier,
F-321,,Nakaseke,2,No,5.0,No,,No,,Yes,100% Agricultural,Deed of Property,,No,,Yes,,Yes,,No,,,Yes,,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,,No,No corruption observed,,,11.58962,15000.0,523.0,2021-01-02 03:00:00Z,0-25%,75-100%,"Matoke, Groundnuts",,Rainfed,"Composting, Pest Management",2.0,1.0,4.0,2.0,5.0,0.0,,1241.0,,3280.0,,2468.0,Nakaseke,Local Trader,
F-322,,Nakaseke,5,Yes,7.0,No,,No,,Yes,100% Agricultural,Deed of Property,,No,,Yes,,Yes,,No,,,Yes,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,No,,Yes,,Yes,,No,No corruption observed,,,3.313785,1250.0,462.0,1990-08-12 03:00:00Z,0-25%,75-100%,,,Rainfed,"Mulching, Pruning",1.0,6.0,0.0,5.0,0.0,0.0,,612.0,,3789.0,,423.0,Nakaseke,Local Trader,
F-323,,Luwero,5,Yes,7.0,No,,No,,No,100% Agricultural,Customary,,No,,Yes,,Yes,,No,,,No,,Yes,,Yes,,No,No child labor employed,Yes,,No,Lack of training on rights,Yes,Unaware of tax obligations,No,No corruption observed,,,5.033347,2250.0,1342.0,1986-05-08 03:00:00Z,0-25%,75-100%,"Bananas, Cassava",,Rainfed,"Mulching, Pruning",2.0,1.0,3.0,1.0,8.0,0.0,,1047.0,,4410.0,,2366.0,Luwero,Local Trader,
F-324,1.0,Kayunga,1,no,5.0,no,,no,,no,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,0.8761384,1068.237,0.965878,1050.0,1000.0,2007-03-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],3.0,0.0,0.0,5.0,0.0,0.0,700.0,509.0,900.0,900.0,,700.0,It's picked from your farm,Cooperative representative,
F-325,1.0,Kayunga,1,yes,5.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.96557266,1055.508,0.750582,1300.0,1000.0,2009-07-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",4.0,4.0,2.0,6.0,8.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-326,1.0,Luwero,1,yes,10.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.0,1157.3,0.264241,950.0,900.0,2009-04-05 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",1.0,0.0,1.0,3.0,0.0,0.0,500.0,450.0,1000.0,1000.0,,500.0,It's picked from your farm,Supplier,
F-327,1.0,Luwero,1,yes,4.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.3,1087.7,1.319923,1600.0,1200.0,2018-09-18 03:00:00Z,0-25%,75-100%,"['Bananas', 'other']",jackfruit,Rainfed,"['Pruning', 'Weeding']",2.0,1.0,2.0,1.0,3.0,0.0,552.0,637.0,1300.0,1500.0,650.0,750.0,It's picked from your farm,Supplier,
F-328,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.2330347,1019.033,0.177649,1200.0,1000.0,2017-07-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",6.0,2.0,2.0,6.0,8.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-329,1.0,Kayunga,2025-05-10 00:00:00,yes,6.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,9.648001,1062.93859863281,1.302293,100.0,70.0,2005-05-10 03:00:00Z,0-25%,75-100%,['Beans'],,Irrigated,['Using Fertilizers'],10.0,5.0,10.0,30.0,3.0,2.0,150.0,150.0,100.0,100.0,,150.0,It's picked from your farm,Supplier,
F-330,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,0.966,1064.19,1.064801,600.0,300.0,1995-05-15 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Pruning', 'Weeding']",0.0,0.0,0.0,0.0,4.0,0.0,1450.0,1450.0,3000.0,3000.0,1500.0,1500.0,It's picked from your farm,Hulling Station representative,
F-331,1.0,Luwero,1,yes,5.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,7.2,1140.3,4.40804,1350.0,1300.0,1962-01-01 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Intercropping'],2.0,2.0,2.0,2.0,0.0,0.0,100.0,900.0,2000.0,2000.0,,100.0,It's picked from your farm,Supplier,
F-332,1.0,Kayunga,1,yes,7.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,2.2,1145.8,2.39848,950.0,900.0,2008-02-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],2.0,2.0,3.0,4.0,0.0,0.0,600.0,500.0,1000.0,1000.0,,600.0,It's picked from your farm,Cooperative representative,
F-333,,Luwero,1,Yes,9.0,No,WOTOYITIDDE,No,,Yes,100% Agricultural,Lease,,No,,Yes,,Yes,,No,,,No,,Yes,,Yes,,No,No child labor employed,Yes,,No,Lack of training on rights,Yes,,No,No corruption observed,,,6.973732,101.0,618.0,2008-08-17 03:00:00Z,0-25%,75-100%,"Maize, Beans",,Rainfed,"Composting, Pest Management",0.0,0.0,9.0,1.0,0.0,0.0,,366.0,,690.0,,2030.0,Luwero,Local Trader,
F-334,,Luwero,1,Yes,9.0,Yes,WOTOYITIDDE,No,,Yes,100% Agricultural,Lease,,No,,Yes,,Yes,,No,,,No,,Yes,,Yes,,No,No child labor employed,Yes,,No,Lack of training on rights,Yes,,No,No corruption observed,,,6.973732,450.0,618.0,2023-04-04 03:00:00Z,0-25%,75-100%,"Maize, Beans",,Rainfed,"Composting, Pest Management",0.0,0.0,9.0,1.0,0.0,0.0,,366.0,,690.0,,2030.0,Luwero,Local Trader,
F-335,,Luwero,1,Yes,9.0,Yes,WOTOYITIDDE,No,,Yes,100% Agricultural,Lease,,No,,Yes,,Yes,,No,,,No,,Yes,,Yes,,No,No child labor employed,Yes,,No,Lack of training on rights,Yes,,No,No corruption observed,,,3.388329,900.0,618.0,2021-09-04 03:00:00Z,0-25%,75-100%,"Maize, Beans",,Rainfed,"Composting, Pest Management",0.0,0.0,9.0,1.0,0.0,0.0,,366.0,,690.0,,2030.0,Luwero,Local Trader,
F-336,,Luwero,1,Yes,9.0,Yes,WOTOYITIDDE,No,,Yes,100% Agricultural,Lease,,No,,Yes,,Yes,,No,,,No,,Yes,,Yes,,No,No child labor employed,Yes,,No,Lack of training on rights,Yes,,No,No corruption observed,,,6.973732,3150.0,618.0,2010-04-09 03:00:00Z,0-25%,75-100%,"Maize, Beans",,Rainfed,"Composting, Pest Management",0.0,0.0,9.0,1.0,0.0,0.0,,366.0,,690.0,,2030.0,Luwero,Local Trader,
F-337,1.0,Kayunga,1,yes,4.0,no,,no,,no,Natural forest,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.977,1102.8,0.522963,1200.0,1000.0,2010-09-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],1.0,2.0,1.0,2.0,0.0,0.0,1000.0,500.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-338,,Luwero,3,No,2.0,no,,No,,Yes,100% Agricultural,Lease,,No,,Yes,,Yes,,No,,,Yes,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,,No,No corruption observed,,,3.03147,1600.0,1546.0,,0-25%,75-100%,,,Rainfed,"Mulching, Pruning",9.0,7.0,5.0,1.0,5.0,0.0,,1008.0,,3133.0,,831.0,Luwero,Local Trader,
F-339,1.0,Kayunga,2025-05-10 00:00:00,yes,5.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,3.216,1070.44030761718,1.124275,2000.0,1400.0,2009-05-10 03:00:00Z,0-25%,75-100%,['Beans'],,Irrigated,['Using Fertilizers'],15.0,10.0,10.0,40.0,3.0,2.0,150.0,200.0,100.0,100.0,,150.0,It's picked from your farm,Supplier,
F-340,,Luwero,1,Yes,2.0,No,,No,,No,100% Agricultural,Deed of Property,,No,,Yes,,Yes,,No,,,Yes,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,Unaware of tax obligations,No,No corruption observed,,,3.258079,1320.0,2040.0,1990-12-31 03:00:00Z,0-25%,75-100%,"Matoke, Groundnuts",,Irrigated,"Composting, Pest Management",6.0,2.0,7.0,2.0,2.0,0.0,,300.0,,4272.0,,641.0,Luwero,Local Trader,
F-341,1.0,Kayunga,1,yes,8.0,no,,no,,no,Natural forest,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.266,1107.6,0.939544,800.0,600.0,2016-09-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],1.0,1.0,3.0,2.0,0.0,0.0,600.0,300.0,1200.0,1200.0,,600.0,It's picked from your farm,Supplier,
F-342,1.0,Luwero,4,yes,4.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,6.458,1085.548,6.526181,400.0,330.0,1999-03-02 03:00:00Z,0-25%,75-100%,"['Bananas', 'Greengrams']",,Rainfed,"['Weeding', 'Pruning', 'Intercropping']",2.0,0.0,2.0,0.0,0.0,0.0,3600.0,1370.0,2640.0,2640.0,,3600.0,It's picked from your farm,Supplier,
F-343,,Luwero,,,,no,,no,,,Agricultural Use,Title,,no,,yes,,yes,,no,,,yes,,,,Yes,,no,,yes,,yes,,yes,,no,,1.883,1156.55,0.5148,650.0,600.0,2018-05-04 03:00:00Z,0-25%,75-100%,"['Bananas', 'beans']",,Irrigated,"['Weeding', 'Pruning', 'Intercropping']",7.0,0.0,0.0,7.0,0.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,At a hulling station,Supplier,
F-344,1.0,Luwero,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,14.0,1130.0,1.113064,2150.0,2100.0,2008-12-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",5.0,3.0,3.0,8.0,8.0,0.0,2210.0,2129.0,4500.0,4500.0,,2210.0,It's picked from your farm,Supplier,
F-345,1.0,Luwero,1,yes,3.0,no,,no,,yes,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,4.089,1133.763,1.527937,950.0,900.0,2019-03-04 03:00:00Z,0-25%,75-100%,['Beans'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",9.0,3.0,0.0,12.0,7.0,0.0,1020.0,813.0,2050.0,2050.0,,1020.0,At a hulling station,Supplier,
F-346,,Nakaseke,5,Yes,5.0,No,,No,,Yes,100% Agricultural,Customary,,No,,Yes,,Yes,,No,,,Yes,,Yes,,Yes,,No,No child labor employed,Yes,Irregular schedules due to seasonal work,No,,No,,No,No corruption observed,,,3.286587,1600.0,2168.0,,0-25%,75-100%,"Matoke, Groundnuts",,Rainfed,"Mulching, Pruning",8.0,11.0,9.0,4.0,9.0,0.0,,486.0,,1297.0,,1440.0,Nakaseke,Local Trader,
F-347,1.0,Luwero,1,yes,4.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,7.5,1156.0,2.332718,2250.0,2250.0,2009-07-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",2.0,0.0,1.0,4.0,1.0,0.0,1500.0,1350.0,3000.0,3000.0,,1500.0,It's picked from your farm,Supplier,
F-348,1.0,Kayunga,1,yes,10.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,9.049,1060.315,0.657649,3000.0,2800.0,1972-06-29 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Pruning', 'Weeding']",0.0,0.0,0.0,0.0,2.0,0.0,3000.0,3950.0,6000.0,6000.0,,3000.0,At a hulling station,Hulling Station representative,
F-349,,Nakaseke,1,Yes,5.0,No,,No,,Yes,100% Agricultural,Customary,,No,,Yes,,No,Limited knowledge of waste management,No,,,Yes,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,,No,No corruption observed,,,12.97139,4000.0,1283.0,1990-11-08 03:00:00Z,0-25%,75-100%,"Matoke, Groundnuts",,Irrigated,"Mulching, Pruning",0.0,2.0,5.0,0.0,1.0,0.0,,1165.0,,1135.0,,1397.0,Nakaseke,Local Trader,
F-350,,Nakaseke,1,No,10.0,No,,No,,Yes,100% Agricultural,Other,,No,,Yes,,Yes,,No,,,Yes,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,,No,No corruption observed,,,3.459549,1080.0,1030.0,1996-09-12 03:00:00Z,0-25%,75-100%,,,Irrigated,"Mulching, Pruning",1.0,2.0,4.0,2.0,3.0,0.0,,108.0,,3568.0,,753.0,Nakaseke,Local Trader,
F-351,1.0,Luwero,1,yes,5.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.8293606,1121.872,3.275318,300.0,100.0,2015-03-02 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Intercropping'],2.0,4.0,2.0,6.0,1.0,0.0,75.0,50.0,150.0,150.0,,75.0,It's picked from your farm,Supplier,
F-352,1.0,Luwero,5,Yes,7.0,no,,No,,Yes,100% Agricultural,Customary,,No,,Yes,,Yes,,No,,,No,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,,No,No corruption observed,,,3.525777,580.0,695.0,,0-25%,75-100%,Maize,,Rainfed,"Intercropping, Soil Testing",7.0,5.0,8.0,4.0,10.0,0.0,,1329.0,,3229.0,,1132.0,Luwero,Local Trader,
F-353,1.0,Luwero,1,yes,14.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.903,11.192,2.037865,1400.0,1350.0,1998-08-14 03:00:00Z,0-25%,75-100%,['Beans'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",2.0,0.0,2.0,1.0,2.0,0.0,750.0,675.0,1500.0,1500.0,,750.0,It's picked from your farm,Supplier,
F-354,1.0,Kayunga,1,yes,3.0,no,,no,,yes,Agricultural Use,Title,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,20.72,1100.1,0.852843,1050.0,1000.0,1999-06-23 03:00:00Z,0-25%,75-100%,"['Bananas', 'Tobacco']",,Rainfed,"['Using Fertilizers', 'Weeding']",1.0,0.0,0.0,1.0,0.0,0.0,300.0,200.0,500.0,500.0,,300.0,It's picked from your farm,Supplier,
F-355,1.0,Kayunga,1,yes,7.0,no,,no,,yes,Agricultural Use,Title,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.46,1072.3,0.302681,1330.0,1280.0,2000-04-11 03:00:00Z,0-25%,75-100%,['Beans'],,Rainfed,['Intercropping'],3.0,3.0,4.0,2.0,0.0,0.0,1400.0,1200.0,2800.0,2800.0,,1400.0,It's picked from your farm,Supplier,
F-356,,Nakaseke,5,No,7.0,no,,No,,Yes,100% Agricultural,Lease,,No,,Yes,,Yes,,No,,,No,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,,Yes,,No,,No,No corruption observed,,,4.614945,1000.0,475.0,,0-25%,75-100%,"Maize, Beans",,Irrigated,"Intercropping, Soil Testing",12.0,12.0,8.0,1.0,2.0,0.0,,1210.0,,3052.0,,1175.0,Nakaseke,Local Trader,
F-357,1.0,Luwero,1,yes,3.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.0,1123.0,1.284277,360.0,100.0,2010-09-20 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding']",2.0,1.0,0.0,3.0,0.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-358,,Nakaseke,2,Yes,10.0,No,,No,,Yes,100% Agricultural,Other,,No,,Yes,,Yes,,No,,,No,,Yes,,Yes,,No,No child labor employed,Yes,,Yes,Lack of training on rights,Yes,,No,No corruption observed,,,3.061825,1000.0,246.0,,0-25%,75-100%,"Matoke, Groundnuts",,Rainfed,"Composting, Pest Management",1.0,1.0,6.0,0.0,1.0,0.0,,201.0,,3286.0,,2321.0,Nakaseke,Local Trader,
